match_type,venue,city,toss_winner,toss_decision,team1,team2,overs_limit,balls_per_over,first_innings_runs,first_innings_wickets,first_innings_extras,first_innings_boundaries,first_innings_overs,second_innings_runs,second_innings_wickets,second_innings_extras,second_innings_boundaries,second_innings_overs,season,player_of_the_match,result
"ODI","Shere Bangla National Stadium","Mirpur","Bangladesh","bat","Bangladesh","West Indies","50","6","58","10","2","7","19.1","59","1","7","8","12.5","2010/11","KAJ Roach","West Indies"
"ODI","Zahur Ahmed Chowdhury Stadium","Chittagong","Bangladesh","field","Bangladesh","England","50","6","225","10","10","17","50.4","227","8","33","21","51.2","2010/11","Imrul Kayes","Bangladesh"
"ODI","Zahur Ahmed Chowdhury Stadium","Chittagong","Netherlands","bat","Bangladesh","Netherlands","50","6","160","10","9","10","46.2","166","4","9","16","42","2010/11","Imrul Kayes","Bangladesh"
"ODI","Shere Bangla National Stadium","Mirpur","South Africa","bat","Bangladesh","South Africa","50","6","284","8","7","29","50.4","78","10","8","10","28.3","2010/11","LL Tsotsobe","South Africa"
"Test","Zahur Ahmed Chowdhury Stadium","Chittagong","Bangladesh","field","Bangladesh","India","undefined","6","243","10","13","30","71.5","242","10","18","37","67.3","2009/10","SR Tendulkar","India"
"Test","Shere Bangla National Stadium","Mirpur","Bangladesh","bat","Bangladesh","India","undefined","6","233","10","2","31","73.5","544","9","20","62","134.5","2009/10","Z Khan","India"
"ODI","Shere Bangla National Stadium","Mirpur","Sri Lanka","field","Bangladesh","Sri Lanka","50","6","260","7","18","23","51.5","261","3","24","30","46.4","2009/10","TM Dilshan","Sri Lanka"
"ODI","Shere Bangla National Stadium","Mirpur","Bangladesh","bat","Bangladesh","India","50","6","296","6","25","30","52.3","297","4","22","26","49.5","2009/10","MS Dhoni","India"
"ODI","Shere Bangla National Stadium","Mirpur","Sri Lanka","field","Bangladesh","Sri Lanka","50","6","249","9","14","21","51.3","252","1","9","33","44.1","2009/10","WU Tharanga","Sri Lanka"
"ODI","Shere Bangla National Stadium","Mirpur","India","field","Bangladesh","India","50","6","247","6","11","28","51.2","249","4","9","25","43.3","2009/10","V Kohli","India"
"ODI","Civil Service Cricket Club, Stormont","Belfast","Ireland","bat","Ireland","Bangladesh","50","6","189","9","13","18","47.3","191","4","19","20","39","2010","Shafiul Islam","Bangladesh"
"ODI","Rangiri Dambulla International Stadium","undefined","Bangladesh","bat","Bangladesh","India","50","6","167","10","21","16","36.4","168","4","25","12","31.5","2010","G Gambhir","India"
"ODI","Rangiri Dambulla International Stadium","undefined","Sri Lanka","bat","Sri Lanka","Bangladesh","50","6","312","4","13","33","51.1","186","10","18","18","42.1","2010","TM Dilshan","Sri Lanka"
"ODI","Rangiri Dambulla International Stadium","undefined","Pakistan","bat","Bangladesh","Pakistan","50","6","385","7","11","51","51","246","5","12","21","51.1","2010","Shahid Afridi","Pakistan"
"ODI","Shere Bangla National Stadium","Mirpur","Bangladesh","bat","Bangladesh","New Zealand","50","6","228","10","18","24","50.5","200","8","11","17","37.5","2010/11","Shakib Al Hasan","Bangladesh"
"ODI","Shere Bangla National Stadium","Mirpur","Bangladesh","field","Bangladesh","New Zealand","50","6","173","10","5","16","43.4","177","3","9","21","41.2","2010/11","Suhrawadi Shuvo","Bangladesh"
