match_type,venue,city,toss_winner,toss_decision,team1,team2,overs_limit,balls_per_over,first_innings_runs,first_innings_wickets,first_innings_extras,first_innings_boundaries,first_innings_overs,second_innings_runs,second_innings_wickets,second_innings_extras,second_innings_boundaries,second_innings_overs,season,player_of_the_match,result
"ODI","MA Aziz Stadium","Chattogram","Zimbabwe","bat","Zimbabwe","Bangladesh","50","6","237","5","17","23","51.1","206","10","10","14","48.1","2004/05","BG Rogers","Zimbabwe"
"ODI","Bangabandhu National Stadium","Dhaka","Zimbabwe","bat","Zimbabwe","Bangladesh","50","6","198","10","6","19","49.4","202","2","6","31","33.5","2004/05","Mohammad Rafique","Bangladesh"
"ODI","Kingsmead, Durban","Durban","Canada","bat","Canada","Bangladesh","50","6","180","10","23","19","51.5","120","10","16","14","30.2","2002/03","A Codrington","Canada"
"ODI","Willowmoore Park, Benoni","Benoni","Bangladesh","field","West Indies","Bangladesh","50","6","244","9","27","22","52.5","32","2","5","3","8.4","2002/03","","no result"
"ODI","Goodyear Park, Bloemfontein","Bloemfontein","South Africa","field","Bangladesh","South Africa","50","6","108","10","20","8","37.5","109","0","8","19","13.1","2002/03","M Ntini","South Africa"
"ODI","De Beers Diamond Oval, Kimberley","Kimberley","Bangladesh","bat","Bangladesh","New Zealand","50","6","198","7","18","20","52.1","199","3","4","26","34.1","2002/03","CD McMillan","New Zealand"
"ODI","New Wanderers Stadium, Johannesburg","Johannesburg","Kenya","bat","Kenya","Bangladesh","50","6","217","7","14","22","51.5","185","10","18","14","49.3","2002/03","MO Odumbe","Kenya"
"ODI","Melbourne Cricket Ground","undefined","Sri Lanka","bat","Bangladesh","Sri Lanka","50","6","332","1","14","39","51.2","240","10","15","26","48","2014/15","TM Dilshan","Sri Lanka"
"ODI","Saxton Oval","Nelson","Bangladesh","field","Bangladesh","Scotland","50","6","318","8","7","37","51","322","4","9","37","49.4","2014/15","KJ Coetzer","Bangladesh"
"ODI","Adelaide Oval","undefined","England","field","Bangladesh","England","50","6","275","7","14","26","51.3","260","10","5","27","48.4","2014/15","Mahmudullah","Bangladesh"
"ODI","Seddon Park","Hamilton","New Zealand","field","New Zealand","Bangladesh","50","6","288","7","5","37","50.4","290","7","5","37","49.3","2014/15","MJ Guptill","New Zealand"
"ODI","Melbourne Cricket Ground","undefined","India","bat","Bangladesh","India","50","6","302","6","16","33","50.5","193","10","10","20","46.2","2014/15","RG Sharma","India"
"ODI","Sinhalese Sports Club","Colombo","Pakistan","bat","Pakistan","Bangladesh","50","6","257","6","11","21","51","181","10","20","14","47.1","2004","Yasir Hameed","Pakistan"
"ODI","R.Premadasa Stadium","Colombo","Bangladesh","bat","Bangladesh","Sri Lanka","50","6","190","9","20","13","50.4","191","0","20","15","35","2004","ST Jayasuriya","Sri Lanka"
"ODI","The Rose Bowl","Southampton","Bangladesh","field","West Indies","Bangladesh","50","6","269","3","20","22","51.4","131","10","10","11","40.5","2004","CH Gayle","West Indies"
"Test","Zahur Ahmed Chowdhury Stadium","Chittagong","New Zealand","bat","Bangladesh","New Zealand","undefined","6","469","10","12","49","157.3","501","10","15","68","149.1","2013/14","Sohag Gazi","draw"
"Test","Shere Bangla National Stadium","Mirpur","Bangladesh","bat","Bangladesh","New Zealand","undefined","6","282","10","4","44","75","437","10","11","46","140.2","2013/14","Mominul Haque","draw"
"ODI","Shere Bangla National Stadium","Mirpur","New Zealand","field","Bangladesh","New Zealand","50","6","265","10","16","31","51.3","162","9","3","22","30","2013/14","Rubel Hossain","Bangladesh"
"ODI","Shere Bangla National Stadium","Mirpur","Bangladesh","bat","Bangladesh","New Zealand","50","6","247","10","16","24","50","207","10","17","18","47.4","2013/14","Sohag Gazi","Bangladesh"
"ODI","Khan Shaheb Osman Ali Stadium","Fatullah","Bangladesh","field","Bangladesh","New Zealand","50","6","307","5","9","33","50.2","309","6","23","33","51.2","2013/14","Shamsur Rahman","Bangladesh"
"T20","Shere Bangla National Stadium","Mirpur","New Zealand","bat","Bangladesh","New Zealand","20","6","204","5","9","27","20.5","189","9","4","26","20.1","2013/14","C Munro","New Zealand"
"T20","Zahur Ahmed Chowdhury Stadium","Chittagong","Bangladesh","field","Bangladesh","Nepal","20","6","126","5","12","14","21.3","132","2","2","17","15.3","2013/14","Al-Amin Hossain","Bangladesh"
"T20","Zahur Ahmed Chowdhury Stadium","Chittagong","Hong Kong","field","Bangladesh","Hong Kong","20","6","108","10","6","13","17","114","8","5","11","20","2013/14","Nadeem Ahmed","Hong Kong"
"T20","Shere Bangla National Stadium","Mirpur","Bangladesh","field","Bangladesh","West Indies","20","6","171","7","19","22","20.4","98","10","4","11","19.4","2013/14","DR Smith","West Indies"
"T20","Shere Bangla National Stadium","Mirpur","India","field","Bangladesh","India","20","6","138","7","8","20","20.2","141","2","5","13","19.2","2013/14","R Ashwin","India"
"T20","Shere Bangla National Stadium","Mirpur","Pakistan","bat","Bangladesh","Pakistan","20","6","190","5","13","22","20.5","140","7","5","16","20.2","2013/14","Ahmed Shehzad","Pakistan"
"T20","Shere Bangla National Stadium","Mirpur","Bangladesh","bat","Bangladesh","Australia","20","6","153","5","15","16","21.3","158","3","5","24","17.5","2013/14","AJ Finch","Australia"
"Test","Shere Bangla National Stadium","Mirpur","Sri Lanka","field","Bangladesh","Sri Lanka","undefined","6","232","10","9","38","64.4","730","6","31","79","189.4","2013/14","DPMD Jayawardene","Sri Lanka"
"Test","Zahur Ahmed Chowdhury Stadium","Chittagong","Sri Lanka","bat","Bangladesh","Sri Lanka","undefined","6","587","10","35","67","157.1","426","10","30","55","123.2","2013/14","KC Sangakkara","draw"
"T20","Zahur Ahmed Chowdhury Stadium","Chittagong","Bangladesh","field","Bangladesh","Sri Lanka","20","6","168","7","10","15","20.3","166","7","7","22","20.2","2013/14","MDKJ Perera","Sri Lanka"
"T20","Zahur Ahmed Chowdhury Stadium","Chittagong","Bangladesh","bat","Bangladesh","Sri Lanka","20","6","120","10","7","15","20.2","123","7","4","10","20.3","2013/14","NLTC Perera","Sri Lanka"
"ODI","Shere Bangla National Stadium","Mirpur","Bangladesh","field","Bangladesh","Sri Lanka","50","6","180","10","10","19","41.3","167","10","6","19","39.5","2013/14","NLTC Perera","Sri Lanka"
"ODI","Shere Bangla National Stadium","Mirpur","Sri Lanka","bat","Bangladesh","Sri Lanka","50","6","289","6","7","33","50.4","228","10","14","24","44.1","2013/14","KC Sangakkara","Sri Lanka"
"ODI","Shere Bangla National Stadium","Mirpur","Sri Lanka","field","Bangladesh","Sri Lanka","50","6","240","8","9","23","51.1","246","4","7","23","48","2013/14","MDKJ Perera","Sri Lanka"
"ODI","Khan Shaheb Osman Ali Stadium","Fatullah","India","field","Bangladesh","India","50","6","279","7","18","26","51.4","280","4","11","33","50.4","2013/14","V Kohli","India"
"ODI","Shere Bangla National Stadium","Mirpur","Bangladesh","bat","Bangladesh","Pakistan","50","6","326","3","21","39","51.4","329","7","13","39","51.1","2013/14","Shahid Afridi","Pakistan"
"ODI","Shere Bangla National Stadium","Mirpur","Bangladesh","bat","Bangladesh","Sri Lanka","50","6","204","9","17","15","50.5","208","7","9","20","49.5","2013/14","AD Mathews","Sri Lanka"
"ODI","National Cricket Stadium, St George's","Grenada","West Indies","field","West Indies","Bangladesh","50","6","217","9","11","20","51.3","219","7","6","23","39.5","2014","KA Pollard","West Indies"
"ODI","National Cricket Stadium, St George's","Grenada","Bangladesh","field","West Indies","Bangladesh","50","6","247","7","15","21","51.2","70","10","5","7","25.3","2014","SP Narine","West Indies"
"ODI","Warner Park, Basseterre","St Kitts","West Indies","bat","West Indies","Bangladesh","50","6","338","7","10","38","51","247","8","17","29","51.5","2014","D Ramdin","West Indies"
"T20","Warner Park, Basseterre","St Kitts","Bangladesh","bat","West Indies","Bangladesh","20","6","31","0","1","3","4.5","0","0","0","0","0","2014","","no result"
"Test","Arnos Vale Ground, Kingstown","St Vincent","Bangladesh","field","West Indies","Bangladesh","undefined","6","484","7","24","43","160.1","182","10","5","25","72.1","2014","KC Brathwaite","West Indies"
"Test","Beausejour Stadium, Gros Islet","St Lucia","Bangladesh","field","West Indies","Bangladesh","undefined","6","380","10","28","41","126","161","10","13","12","63","2014","S Chanderpaul","West Indies"
"ODI","Shere Bangla National Stadium","Mirpur","Bangladesh","bat","Bangladesh","India","50","6","272","9","11","33","51.2","153","3","8","18","26.1","2014","AM Rahane","India"
"ODI","Shere Bangla National Stadium","Mirpur","Bangladesh","field","Bangladesh","India","50","6","105","10","11","11","26.2","58","10","6","9","18.4","2014","STR Binny","India"
"ODI","Shere Bangla National Stadium","Mirpur","India","bat","Bangladesh","India","50","6","119","9","13","12","36","0","0","0","0","0","2014","","no result"
"Test","Shere Bangla National Stadium","Mirpur","Zimbabwe","bat","Bangladesh","Zimbabwe","undefined","6","240","10","13","30","76","254","10","7","33","98.1","2014/15","Taijul Islam","Bangladesh"
"Test","Sheikh Abu Naser Stadium","Khulna","Bangladesh","bat","Bangladesh","Zimbabwe","undefined","6","433","10","17","50","159.4","368","10","11","43","135.3","2014/15","Shakib Al Hasan","Bangladesh"
"Test","Zahur Ahmed Chowdhury Stadium","Chittagong","Bangladesh","bat","Bangladesh","Zimbabwe","undefined","6","503","10","18","52","154.4","374","10","9","43","106.2","2014/15","Mominul Haque","Bangladesh"
"ODI","Zahur Ahmed Chowdhury Stadium","Chittagong","Zimbabwe","field","Bangladesh","Zimbabwe","50","6","281","7","20","24","52.5","194","10","15","19","43","2014/15","Shakib Al Hasan","Bangladesh"
"ODI","Zahur Ahmed Chowdhury Stadium","Chittagong","Bangladesh","bat","Bangladesh","Zimbabwe","50","6","251","7","12","20","51.3","183","10","9","16","45.4","2014/15","Mashrafe Mortaza","Bangladesh"
"ODI","Shere Bangla National Stadium","Mirpur","Zimbabwe","field","Bangladesh","Zimbabwe","50","6","297","6","17","28","51.1","173","10","20","20","40.5","2014/15","Anamul Haque","Bangladesh"
"ODI","Shere Bangla National Stadium","Mirpur","Bangladesh","bat","Bangladesh","Zimbabwe","50","6","256","8","19","24","52.1","235","8","7","27","50.3","2014/15","Mahmudullah","Bangladesh"
"ODI","Shere Bangla National Stadium","Mirpur","Zimbabwe","bat","Bangladesh","Zimbabwe","50","6","128","10","3","15","30.3","130","5","17","21","26.2","2014/15","Taijul Islam","Bangladesh"
"IT20","Yeonhui Cricket Ground","Incheon","Sri Lanka","field","Bangladesh","Sri Lanka","20","6","59","3","7","5","11.4","0","0","0","0","0","2014/15","","no result"
"IT20","Yeonhui Cricket Ground","Incheon","Bangladesh","bat","Bangladesh","Hong Kong","20","6","162","6","8","13","21","135","7","9","11","20.4","2014/15","","Bangladesh"
"T20","Shere Bangla National Stadium","Mirpur","South Africa","bat","Bangladesh","South Africa","20","6","148","4","5","14","20.3","96","10","4","8","19.1","2015","F du Plessis","South Africa"
"T20","Shere Bangla National Stadium","Mirpur","South Africa","bat","Bangladesh","South Africa","20","6","169","4","14","20","20.4","138","10","7","14","20.3","2015","E Leie","South Africa"
"ODI","Shere Bangla National Stadium","Mirpur","Bangladesh","bat","Bangladesh","South Africa","50","6","160","10","16","15","38.2","164","2","7","20","31.2","2015","K Rabada","South Africa"
"ODI","Shere Bangla National Stadium","Mirpur","South Africa","bat","Bangladesh","South Africa","50","6","162","10","7","15","46.3","167","3","7","24","28.5","2015","Soumya Sarkar","Bangladesh"
"ODI","Zahur Ahmed Chowdhury Stadium","Chittagong","South Africa","bat","Bangladesh","South Africa","50","6","168","9","9","14","40.4","170","1","14","22","27.4","2015","Soumya Sarkar","Bangladesh"
"Test","Zahur Ahmed Chowdhury Stadium","Chittagong","South Africa","bat","Bangladesh","South Africa","undefined","6","248","10","14","22","83.5","326","10","8","40","116.2","2015","Mustafizur Rahman","draw"
"Test","Shere Bangla National Stadium","Mirpur","Bangladesh","bat","Bangladesh","South Africa","undefined","6","246","8","18","25","88.3","0","0","0","0","0","2015","Mushfiqur Rahim","draw"
"ODI","Shere Bangla National Stadium","Mirpur","Bangladesh","bat","Bangladesh","Pakistan","50","6","329","6","17","42","51.2","250","10","9","26","46.1","2015","Mushfiqur Rahim","Bangladesh"
"ODI","Shere Bangla National Stadium","Mirpur","Pakistan","bat","Bangladesh","Pakistan","50","6","239","6","11","23","51.1","240","3","18","34","40.1","2015","Tamim Iqbal","Bangladesh"
"ODI","Shere Bangla National Stadium","Mirpur","Pakistan","bat","Bangladesh","Pakistan","50","6","250","10","6","24","49.5","251","2","7","35","40.3","2015","Soumya Sarkar","Bangladesh"
"T20","Shere Bangla National Stadium","Mirpur","Pakistan","bat","Bangladesh","Pakistan","20","6","141","5","11","14","20.4","143","3","2","24","16.3","2015","Sabbir Rahman","Bangladesh"
"Test","Sheikh Abu Naser Stadium","Khulna","Bangladesh","bat","Bangladesh","Pakistan","undefined","6","332","10","12","38","120.3","628","10","20","62","169.4","2015","Tamim Iqbal","draw"
"Test","Shere Bangla National Stadium","Mirpur","Bangladesh","field","Bangladesh","Pakistan","undefined","6","557","8","15","53","153.1","203","9","6","35","48.1","2015","Azhar Ali","Pakistan"
"Test","Khan Shaheb Osman Ali Stadium","Fatullah","India","bat","Bangladesh","India","undefined","6","462","6","6","55","103.4","256","10","12","42","66.2","2015","S Dhawan","draw"
"ODI","Shere Bangla National Stadium","Mirpur","Bangladesh","bat","Bangladesh","India","50","6","307","10","17","35","51","228","10","10","19","46.2","2015","Mustafizur Rahman","Bangladesh"
"ODI","Shere Bangla National Stadium","Mirpur","India","bat","Bangladesh","India","50","6","200","10","15","18","46.2","200","4","13","23","39.2","2015","Mustafizur Rahman","Bangladesh"
"ODI","Shere Bangla National Stadium","Mirpur","Bangladesh","field","Bangladesh","India","50","6","317","6","10","32","50.3","240","10","17","25","48.4","2015","SK Raina","India"
"ODI","Shere Bangla National Stadium","Mirpur","Zimbabwe","field","Bangladesh","Zimbabwe","50","6","273","9","15","29","51.2","128","9","5","12","36.5","2015/16","Mushfiqur Rahim","Bangladesh"
"ODI","Shere Bangla National Stadium","Mirpur","Zimbabwe","field","Bangladesh","Zimbabwe","50","6","241","9","18","26","51.2","183","10","23","17","44.4","2015/16","Imrul Kayes","Bangladesh"
"ODI","Shere Bangla National Stadium","Mirpur","Bangladesh","bat","Bangladesh","Zimbabwe","50","6","276","9","12","31","51.2","215","10","4","24","43.5","2015/16","Tamim Iqbal","Bangladesh"
"T20","Shere Bangla National Stadium","Mirpur","Bangladesh","field","Bangladesh","Zimbabwe","20","6","131","10","9","15","19.4","136","6","14","15","18.4","2015/16","MN Waller","Bangladesh"
"T20","Shere Bangla National Stadium","Mirpur","Bangladesh","bat","Bangladesh","Zimbabwe","20","6","135","9","13","12","21.1","136","7","10","13","20.2","2015/16","N Madziva","Zimbabwe"
"T20","Himachal Pradesh Cricket Association Stadium","Dharamsala","Netherlands","field","Bangladesh","Netherlands","20","6","153","7","7","16","20.3","145","7","16","17","20.1","2015/16","Tamim Iqbal","Bangladesh"
"T20","Himachal Pradesh Cricket Association Stadium","Dharamsala","Ireland","field","Bangladesh","Ireland","20","6","94","2","14","11","8.3","0","0","0","0","0","2015/16","","no result"
"T20","Himachal Pradesh Cricket Association Stadium","Dharamsala","Oman","field","Bangladesh","Oman","20","6","180","2","4","26","20.3","65","9","6","8","12.4","2015/16","Tamim Iqbal","Bangladesh"
"T20","Eden Gardens","Kolkata","Pakistan","bat","Bangladesh","Pakistan","20","6","201","5","3","30","20.2","146","6","8","19","20.4","2015/16","Shahid Afridi","Pakistan"
"T20","M Chinnaswamy Stadium","Bangalore","Australia","field","Australia","Bangladesh","20","6","156","5","10","20","20.3","157","7","6","20","19","2015/16","A Zampa","Australia"
"T20","M Chinnaswamy Stadium","Bangalore","Bangladesh","field","India","Bangladesh","20","6","146","7","3","16","20.1","145","9","5","17","20.1","2015/16","R Ashwin","India"
"T20","Eden Gardens","Kolkata","New Zealand","bat","Bangladesh","New Zealand","20","6","145","8","6","16","20.1","70","10","6","5","15.5","2015/16","KS Williamson","New Zealand"
"T20","Sheikh Abu Naser Stadium","Khulna","Zimbabwe","bat","Bangladesh","Zimbabwe","20","6","163","7","6","20","20.2","166","6","18","17","19.2","2015/16","H Masakadza","Bangladesh"
"T20","Sheikh Abu Naser Stadium","Khulna","Bangladesh","bat","Bangladesh","Zimbabwe","20","6","167","4","6","19","20.3","125","8","8","13","20.3","2015/16","Sabbir Rahman","Bangladesh"
"T20","Sheikh Abu Naser Stadium","Khulna","Zimbabwe","bat","Bangladesh","Zimbabwe","20","6","187","6","5","26","20.1","156","6","7","21","20.4","2015/16","MN Waller","Zimbabwe"
"T20","Sheikh Abu Naser Stadium","Khulna","Zimbabwe","bat","Bangladesh","Zimbabwe","20","6","180","4","8","22","21","162","10","11","21","20","2015/16","H Masakadza","Zimbabwe"
"T20","Shere Bangla National Stadium","Dhaka","Bangladesh","field","India","Bangladesh","20","6","166","6","7","20","20.3","121","7","10","11","21","2015/16","RG Sharma","India"
"T20","Shere Bangla National Stadium","Mirpur","United Arab Emirates","field","Bangladesh","United Arab Emirates","20","6","133","8","5","13","20.3","82","10","3","11","18.1","2015/16","Mahmudullah","Bangladesh"
"T20","Shere Bangla National Stadium","Mirpur","Bangladesh","bat","Bangladesh","Sri Lanka","20","6","147","7","4","19","20.3","124","8","3","11","20.3","2015/16","Sabbir Rahman","Bangladesh"
"T20","Shere Bangla National Stadium","Mirpur","Pakistan","bat","Bangladesh","Pakistan","20","6","129","7","0","16","20","131","5","8","13","19.5","2015/16","Soumya Sarkar","Bangladesh"
"T20","Shere Bangla National Stadium","Mirpur","India","field","Bangladesh","India","20","6","120","5","3","14","15.3","122","2","0","18","13.5","2015/16","S Dhawan","India"
